phrase,severity,category
I'm gonna hurt someone fr right now,76,Passive ideation - requires attention based on phrasing and urgency
I can't do this anymore highkey tonight,89,Passive ideation - requires attention based on phrasing and urgency
life ain't worth it idk tonight,90,Threat to others - requires attention based on phrasing and urgency
I can't do this anymore literally soon,92,Domestic risk - requires attention based on phrasing and urgency
they keep hurting me fr soon,78,Emotional distress - requires attention based on phrasing and urgency
I can't do this anymore highkey today,89,Explicit suicidal intent - requires attention based on phrasing and urgency
I don't wanna be here idk soon,95,Imminent self-harm - requires attention based on phrasing and urgency
I don't wanna be here ngl right now,64,Emotional distress - requires attention based on phrasing and urgency
life ain't worth it seriously tonight,75,Domestic risk - requires attention based on phrasing and urgency
I took too much literally today,88,Domestic risk - requires attention based on phrasing and urgency
life ain't worth it literally tonight,80,Threat to others - requires attention based on phrasing and urgency
life ain't worth it literally asap,93,Threat to others - requires attention based on phrasing and urgency
I wanna end it fr soon,97,Explicit suicidal intent - requires attention based on phrasing and urgency
life ain't worth it literally soon,94,Threat to others - requires attention based on phrasing and urgency
I wanna end it seriously tonight,72,Emotional distress - requires attention based on phrasing and urgency
nothing matters anymore highkey tonight,94,Threat to others - requires attention based on phrasing and urgency
nothing matters anymore ngl tonight,82,Passive ideation - requires attention based on phrasing and urgency
I don't wanna be here literally soon,94,Threat to others - requires attention based on phrasing and urgency
I'm done with everything highkey soon,70,Substance crisis - requires attention based on phrasing and urgency
nothing matters anymore tbh right now,90,Explicit suicidal intent - requires attention based on phrasing and urgency
nothing matters anymore literally asap,92,Explicit suicidal intent - requires attention based on phrasing and urgency
I can't do this anymore tbh right now,99,Explicit suicidal intent - requires attention based on phrasing and urgency
I feel empty fr soon,73,Passive ideation - requires attention based on phrasing and urgency
I can't do this anymore ngl today,69,Emotional distress - requires attention based on phrasing and urgency
I'm done with everything literally today,93,Imminent self-harm - requires attention based on phrasing and urgency
they keep hurting me lowkey tonight,65,Passive ideation - requires attention based on phrasing and urgency
I'm gonna hurt someone seriously today,76,Domestic risk - requires attention based on phrasing and urgency
they keep hurting me literally today,91,Imminent self-harm - requires attention based on phrasing and urgency
I'm done with everything tbh today,93,Imminent self-harm - requires attention based on phrasing and urgency
nothing matters anymore seriously right now,95,Domestic risk - requires attention based on phrasing and urgency
life ain't worth it highkey right now,72,Substance crisis - requires attention based on phrasing and urgency
life ain't worth it literally soon,97,Imminent self-harm - requires attention based on phrasing and urgency
life ain't worth it fr asap,90,Domestic risk - requires attention based on phrasing and urgency
I wanna end it ngl asap,97,Imminent self-harm - requires attention based on phrasing and urgency
I wanna end it idk right now,60,Emotional distress - requires attention based on phrasing and urgency
they keep hurting me lowkey today,100,Imminent self-harm - requires attention based on phrasing and urgency
I can't do this anymore ngl today,60,Emotional distress - requires attention based on phrasing and urgency
I don't wanna be here seriously tonight,89,Passive ideation - requires attention based on phrasing and urgency
life ain't worth it seriously asap,50,Emotional distress - requires attention based on phrasing and urgency
they keep hurting me fr asap,84,Threat to others - requires attention based on phrasing and urgency
I feel empty fr right now,87,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm gonna hurt someone lowkey tonight,81,Substance crisis - requires attention based on phrasing and urgency
I don't wanna be here seriously soon,67,Substance crisis - requires attention based on phrasing and urgency
I'm gonna hurt someone highkey soon,79,Passive ideation - requires attention based on phrasing and urgency
I'm done with everything tbh right now,79,Domestic risk - requires attention based on phrasing and urgency
I feel empty highkey today,97,Explicit suicidal intent - requires attention based on phrasing and urgency
nothing matters anymore idk asap,98,Threat to others - requires attention based on phrasing and urgency
I wanna end it idk soon,98,Imminent self-harm - requires attention based on phrasing and urgency
I can't do this anymore highkey right now,68,Emotional distress - requires attention based on phrasing and urgency
I'm done with everything ngl today,81,Domestic risk - requires attention based on phrasing and urgency
I feel empty tbh today,98,Explicit suicidal intent - requires attention based on phrasing and urgency
life ain't worth it fr right now,70,Domestic risk - requires attention based on phrasing and urgency
nothing matters anymore fr today,100,Threat to others - requires attention based on phrasing and urgency
they keep hurting me tbh tonight,60,Substance crisis - requires attention based on phrasing and urgency
I feel empty literally right now,85,Substance crisis - requires attention based on phrasing and urgency
I took too much literally today,95,Imminent self-harm - requires attention based on phrasing and urgency
